,kappa,rho,sigma,Rt
0th,0.00047107260218998994,0.02472658340058692,0.0015395100592519363,12.3
1st,0.0007033969840726707,0.024867057291632903,0.006426476491495036,3.49
2nd,0.0007451579022992641,0.01762890540993857,0.006861953509436388,2.32
3rd,0.0007716861077735386,0.017636747903592053,0.008607969942485692,1.88
4th,0.0008419573026785764,0.0162555481856876,0.013233437072882269,1.15
5th,0.0007306198531639892,0.020954237776761617,0.010919920964547915,1.8
6th,0.00047849758981620465,0.015261490865578755,0.01013225978439007,1.44
7th,0.00029566341039198764,0.012844126045255422,0.011431700312863124,1.1
8th,0.0002689521172124474,0.00926923786456721,0.011466975367558318,0.79
9th,0.0002867925691698629,0.013252444136699543,0.01843799419103113,0.71
10th,0.0003063905700629327,0.01698497206492742,0.017241568683703978,0.97
11th,0.00031237062724349317,0.011376880421035962,0.015865197880874087,0.7
12th,0.0002797541009594211,0.013600671580036687,0.0142064767515358,0.94
13th,0.000251822104850186,0.017140219749167757,0.01717570202911703,0.98
14th,0.00022913918072494865,0.017812246275608276,0.016366699079656995,1.07
15th,0.0002472275058011102,0.016334450186041505,0.016779992187451746,0.96
16th,0.00019755420291379084,0.018019613162086376,0.015401720289259197,1.16
17th,0.0002849663584028991,0.02458926849390721,0.023354708911540813,1.04
18th,0.00031585120243905144,0.028833030837877062,0.024850959557980484,1.15
19th,0.00032362670032342597,0.025580762278772148,0.02085704462719499,1.21
20th,0.0003485281156265534,0.02565197650587147,0.023068511363873254,1.1
21st,0.0003180296898593083,0.02136511671186636,0.018138568848209143,1.16
22nd,0.00027999643038367864,0.020552979090481194,0.02039170795068964,0.99
23rd,0.0003875954825515484,0.015630648410879976,0.016442027372209837,0.93
24th,0.00024596980685546706,0.019189712080112227,0.020578551818699026,0.92
25th,0.0002579279096049308,0.01612789856875927,0.01463958071541403,1.08
26th,0.0002732585754935043,0.020369741538488834,0.01742916855323693,1.15
27th,0.0003003013665902651,0.020354217484281355,0.01643591499987363,1.22
28th,0.00041151367000384067,0.023268658096261236,0.01550705874811928,1.46
29th,0.0004546420512490559,0.018952291885526627,0.015065779558039826,1.22
30th,0.0005452404634911922,0.017693517249329972,0.015883415131621153,1.08
31st,0.0005023842942253112,0.0171812152892447,0.016472240167946815,1.01
